"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","617","has title","mobile-android","Tue May 05 03:53:07 UTC 2026","passed","Tue May 05 03:53:08 UTC 2026","","example.spec.ts","",""
"","360","should fetch product list successfully","mobile-android","Tue May 05 03:53:04 UTC 2026","passed","Tue May 05 03:53:05 UTC 2026","API Testing","api-tests.spec.ts","",""
"","592","add item once success","mobile-android","Tue May 05 03:53:09 UTC 2026","passed","Tue May 05 03:53:09 UTC 2026","","inventory.spec.ts","",""
"","885","Login succes and data correct","firefox","Tue May 05 03:52:24 UTC 2026","passed","Tue May 05 03:52:25 UTC 2026","","login.spec.ts","",""
"","1167","add item once success","firefox","Tue May 05 03:52:20 UTC 2026","passed","Tue May 05 03:52:21 UTC 2026","","inventory.spec.ts","",""
"","1475","remove 4 item from 4 cart success","mobile-safari","Tue May 05 03:52:51 UTC 2026","passed","Tue May 05 03:52:52 UTC 2026","","cart.spec.ts","",""
"","910","has title","mobile-safari","Tue May 05 03:52:54 UTC 2026","passed","Tue May 05 03:52:54 UTC 2026","","example.spec.ts","",""
"","714","has title","firefox","Tue May 05 03:52:18 UTC 2026","passed","Tue May 05 03:52:19 UTC 2026","","example.spec.ts","",""
"","1067","Login succes and data correct","mobile-safari","Tue May 05 03:53:00 UTC 2026","passed","Tue May 05 03:53:02 UTC 2026","","login.spec.ts","",""
"","768","check out success","chromium","Tue May 05 03:52:07 UTC 2026","passed","Tue May 05 03:52:07 UTC 2026","","checkout.spec.ts","",""
"","1725","get started link","webkit","Tue May 05 03:52:38 UTC 2026","passed","Tue May 05 03:52:40 UTC 2026","","example.spec.ts","",""
"","1101","add multiple items and remove all items success","mobile-safari","Tue May 05 03:52:59 UTC 2026","passed","Tue May 05 03:53:00 UTC 2026","","inventory.spec.ts","",""
"","354","should fetch product list successfully","mobile-safari","Tue May 05 03:52:49 UTC 2026","passed","Tue May 05 03:52:49 UTC 2026","API Testing","api-tests.spec.ts","",""
"","775","get started link","chromium","Tue May 05 03:52:08 UTC 2026","passed","Tue May 05 03:52:09 UTC 2026","","example.spec.ts","",""
"","370","should fetch product list successfully","chromium","Tue May 05 03:52:04 UTC 2026","passed","Tue May 05 03:52:05 UTC 2026","API Testing","api-tests.spec.ts","",""
"","1570","check out success","webkit","Tue May 05 03:52:35 UTC 2026","passed","Tue May 05 03:52:37 UTC 2026","","checkout.spec.ts","",""
"","634","remove 1 item from add 1 success","mobile-android","Tue May 05 03:53:05 UTC 2026","passed","Tue May 05 03:53:06 UTC 2026","","cart.spec.ts","",""
"","3597","remove 1 item from add 1 success","webkit","Tue May 05 03:52:29 UTC 2026","passed","Tue May 05 03:52:33 UTC 2026","","cart.spec.ts","",""
"","1072","add item once success","mobile-safari","Tue May 05 03:52:56 UTC 2026","passed","Tue May 05 03:52:57 UTC 2026","","inventory.spec.ts","",""
"","832","remove 4 item from 4 cart success","mobile-android","Tue May 05 03:53:06 UTC 2026","passed","Tue May 05 03:53:07 UTC 2026","","cart.spec.ts","",""
"","1111","Login fail and data incorrect","webkit","Tue May 05 03:52:46 UTC 2026","passed","Tue May 05 03:52:47 UTC 2026","","login.spec.ts","",""
"","319","Should return 404","firefox","Tue May 05 03:52:13 UTC 2026","passed","Tue May 05 03:52:13 UTC 2026","API Testing","api-tests.spec.ts","",""
"","621","add item and remove success","mobile-android","Tue May 05 03:53:10 UTC 2026","passed","Tue May 05 03:53:10 UTC 2026","","inventory.spec.ts","",""
"","856","Login fail and data loked","firefox","Tue May 05 03:52:26 UTC 2026","passed","Tue May 05 03:52:27 UTC 2026","","login.spec.ts","",""
"","1149","remove 1 item from add 1 success","mobile-safari","Tue May 05 03:52:49 UTC 2026","passed","Tue May 05 03:52:50 UTC 2026","","cart.spec.ts","",""
"","1122","has title","webkit","Tue May 05 03:52:37 UTC 2026","passed","Tue May 05 03:52:38 UTC 2026","","example.spec.ts","",""
"","870","add multiple items success","firefox","Tue May 05 03:52:21 UTC 2026","passed","Tue May 05 03:52:22 UTC 2026","","inventory.spec.ts","",""
"","568","remove 1 item from add 1 success","chromium","Tue May 05 03:52:05 UTC 2026","passed","Tue May 05 03:52:06 UTC 2026","","cart.spec.ts","",""
"","968","add multiple items success","mobile-safari","Tue May 05 03:52:57 UTC 2026","passed","Tue May 05 03:52:58 UTC 2026","","inventory.spec.ts","",""
